PEARSON CORRELATION MATRIX
========================================================================================================================

                           bert_f1    rouge1    rouge2    rougeL  strict_coverage_overall  lenient_coverage_overall  Completeness_Score  Conciseness_Score  Readability_Score   Score_B
bert_f1                   1.000000  0.718820  0.498352  0.620513                -0.260948                 -0.224771           -0.173562           0.324687           0.101763 -0.077764
rouge1                    0.718820  1.000000  0.728471  0.818209                -0.279925                 -0.372589           -0.159612           0.324741           0.164835 -0.213471
rouge2                    0.498352  0.728471  1.000000  0.715265                 0.035329                 -0.010136           -0.046192           0.267060           0.240347 -0.063718
rougeL                    0.620513  0.818209  0.715265  1.000000                -0.186320                 -0.250676           -0.173473           0.283765           0.139342 -0.298727
strict_coverage_overall  -0.260948 -0.279925  0.035329 -0.186320                 1.000000                  0.721045            0.177960           0.034292           0.200789  0.250639
lenient_coverage_overall -0.224771 -0.372589 -0.010136 -0.250676                 0.721045                  1.000000            0.197191          -0.066263           0.160083  0.275338
Completeness_Score       -0.173562 -0.159612 -0.046192 -0.173473                 0.177960                  0.197191            1.000000           0.207425           0.468072  0.217305
Conciseness_Score         0.324687  0.324741  0.267060  0.283765                 0.034292                 -0.066263            0.207425           1.000000           0.666704  0.031851
Readability_Score         0.101763  0.164835  0.240347  0.139342                 0.200789                  0.160083            0.468072           0.666704           1.000000  0.162806
Score_B                  -0.077764 -0.213471 -0.063718 -0.298727                 0.250639                  0.275338            0.217305           0.031851           0.162806  1.000000
