,bert_f1,rouge1,rouge2,rougeL,strict_coverage_overall,lenient_coverage_overall,Completeness_Score,Conciseness_Score,Readability_Score,Score_B
bert_f1,1.0,0.7188198925501166,0.49835150543064494,0.6205128311235112,-0.26094787847463835,-0.22477096749275496,-0.17356182651529803,0.3246868340607413,0.10176284926366985,-0.07776361558078881
rouge1,0.7188198925501166,1.0,0.728471120379492,0.8182094630985317,-0.2799248832705561,-0.3725893217652857,-0.15961233842947592,0.32474056423450287,0.16483529149561651,-0.21347053707846456
rouge2,0.49835150543064494,0.728471120379492,1.0,0.7152651079325015,0.03532948636618485,-0.010136012556017652,-0.04619171512461881,0.2670601930817468,0.24034688213876385,-0.06371822703303674
rougeL,0.6205128311235112,0.8182094630985317,0.7152651079325015,1.0,-0.18632012899975678,-0.25067613077886813,-0.17347323153430144,0.2837650647168971,0.13934247399867722,-0.2987267766792072
strict_coverage_overall,-0.26094787847463835,-0.2799248832705561,0.03532948636618485,-0.18632012899975678,1.0,0.721045422259777,0.17796029115569195,0.03429231684443839,0.20078930250917854,0.2506388857945402
lenient_coverage_overall,-0.22477096749275496,-0.3725893217652857,-0.010136012556017652,-0.25067613077886813,0.721045422259777,1.0,0.197191475650207,-0.06626276840729378,0.1600827029940697,0.27533770089875936
Completeness_Score,-0.17356182651529803,-0.15961233842947592,-0.04619171512461881,-0.17347323153430144,0.17796029115569195,0.197191475650207,1.0,0.20742546579548463,0.46807238976351934,0.21730536655821703
Conciseness_Score,0.3246868340607413,0.32474056423450287,0.2670601930817468,0.2837650647168971,0.03429231684443839,-0.06626276840729378,0.20742546579548463,1.0,0.6667035007027193,0.031851015675811875
Readability_Score,0.10176284926366985,0.16483529149561651,0.24034688213876385,0.13934247399867722,0.20078930250917854,0.1600827029940697,0.46807238976351934,0.6667035007027193,1.0,0.1628055294374223
Score_B,-0.07776361558078881,-0.21347053707846456,-0.06371822703303674,-0.2987267766792072,0.2506388857945402,0.27533770089875936,0.21730536655821703,0.031851015675811875,0.1628055294374223,1.0
