SPEARMAN CORRELATION MATRIX
========================================================================================================================

                           bert_f1    rouge1    rouge2    rougeL  strict_coverage_overall  lenient_coverage_overall  Completeness_Score  Conciseness_Score  Readability_Score   Score_B
bert_f1                   1.000000  0.668401  0.491306  0.591399                -0.263772                 -0.193305           -0.229254           0.352646           0.168116 -0.099118
rouge1                    0.668401  1.000000  0.734732  0.818665                -0.279715                 -0.362970           -0.231554           0.348529           0.208861 -0.206473
rouge2                    0.491306  0.734732  1.000000  0.699049                 0.004757                 -0.027327           -0.097979           0.289983           0.248515 -0.039819
rougeL                    0.591399  0.818665  0.699049  1.000000                -0.250948                 -0.296215           -0.232780           0.294780           0.180052 -0.287855
strict_coverage_overall  -0.263772 -0.279715  0.004757 -0.250948                 1.000000                  0.765792            0.258872          -0.109991           0.044933  0.226312
lenient_coverage_overall -0.193305 -0.362970 -0.027327 -0.296215                 0.765792                  1.000000            0.265714          -0.116081           0.100989  0.270681
Completeness_Score       -0.229254 -0.231554 -0.097979 -0.232780                 0.258872                  0.265714            1.000000           0.031631           0.373677  0.160514
Conciseness_Score         0.352646  0.348529  0.289983  0.294780                -0.109991                 -0.116081            0.031631           1.000000           0.581270 -0.001000
Readability_Score         0.168116  0.208861  0.248515  0.180052                 0.044933                  0.100989            0.373677           0.581270           1.000000  0.145807
Score_B                  -0.099118 -0.206473 -0.039819 -0.287855                 0.226312                  0.270681            0.160514          -0.001000           0.145807  1.000000
