,bert_f1,rouge1,rouge2,rougeL,strict_coverage_overall,lenient_coverage_overall,Completeness_Score,Conciseness_Score,Readability_Score,Score_B
bert_f1,1.0,0.668400860211199,0.49130645584721444,0.5913993766737989,-0.2637721808018015,-0.19330538500301347,-0.2292539849329519,0.3526461717594091,0.16811566556115082,-0.09911764000670535
rouge1,0.668400860211199,1.0,0.7347323391182892,0.8186648333469636,-0.27971469751406197,-0.36297033188025013,-0.2315540629655742,0.3485289272321564,0.20886115874479386,-0.20647339574658533
rouge2,0.49130645584721444,0.7347323391182892,1.0,0.6990491308593801,0.004756556780368313,-0.02732717227714915,-0.09797945040969643,0.2899825824046926,0.24851462460473756,-0.03981936864447978
rougeL,0.5913993766737989,0.8186648333469636,0.6990491308593801,1.0,-0.2509483764362085,-0.29621476198017327,-0.23278039574478357,0.2947795253458013,0.18005195741199614,-0.28785471136788104
strict_coverage_overall,-0.2637721808018015,-0.27971469751406197,0.004756556780368313,-0.2509483764362085,1.0,0.7657924380194183,0.2588715163485536,-0.10999136363841543,0.044933285846647145,0.2263122769268126
lenient_coverage_overall,-0.19330538500301347,-0.36297033188025013,-0.02732717227714915,-0.29621476198017327,0.7657924380194183,1.0,0.26571365574420314,-0.11608127146333574,0.10098880682532486,0.2706814411078533
Completeness_Score,-0.2292539849329519,-0.2315540629655742,-0.09797945040969643,-0.23278039574478357,0.2588715163485536,0.26571365574420314,1.0,0.03163098577181966,0.373677206259745,0.16051440657929067
Conciseness_Score,0.3526461717594091,0.3485289272321564,0.2899825824046926,0.2947795253458013,-0.10999136363841543,-0.11608127146333574,0.03163098577181966,1.0,0.5812699465377485,-0.0010001396286040114
Readability_Score,0.16811566556115082,0.20886115874479386,0.24851462460473756,0.18005195741199614,0.044933285846647145,0.10098880682532486,0.373677206259745,0.5812699465377485,1.0,0.14580666272552284
Score_B,-0.09911764000670535,-0.20647339574658533,-0.03981936864447978,-0.28785471136788104,0.2263122769268126,0.2706814411078533,0.16051440657929067,-0.0010001396286040114,0.14580666272552284,1.0
